KiB Mem:   4016704 total,  2007836 used,  2008868 free,   182264 buffers
KiB Mem:   4016704 total,  2007836 used,  2008868 free,   182264 buffers
KiB Mem:   4016704 total,  2007836 used,  2008868 free,   182264 buffers
KiB Mem:   4016704 total,  2001932 used,  2014772 free,   182288 buffers
KiB Mem:   4016704 total,  2001932 used,  2014772 free,   182288 buffers
KiB Mem:   4016704 total,  2001932 used,  2014772 free,   182288 buffers
KiB Mem:   4016704 total,  2001932 used,  2014772 free,   182288 buffers
KiB Mem:   4016704 total,  2001932 used,  2014772 free,   182288 buffers
KiB Mem:   4016704 total,  2001932 used,  2014772 free,   182288 buffers
KiB Mem:   4016704 total,  2001684 used,  2015020 free,   182292 buffers
KiB Mem:   4016704 total,  2001684 used,  2015020 free,   182292 buffers
KiB Mem:   4016704 total,  2001684 used,  2015020 free,   182292 buffers
KiB Mem:   4016704 total,  2001684 used,  2015020 free,   182292 buffers
KiB Mem:   4016704 total,  2001684 used,  2015020 free,   182292 buffers
KiB Mem:   4016704 total,  2001684 used,  2015020 free,   182292 buffers
KiB Mem:   4016704 total,  2001536 used,  2015168 free,   182300 buffers
KiB Mem:   4016704 total,  2001536 used,  2015168 free,   182300 buffers
KiB Mem:   4016704 total,  2001536 used,  2015168 free,   182300 buffers
KiB Mem:   4016704 total,  2001536 used,  2015168 free,   182300 buffers
KiB Mem:   4016704 total,  2001536 used,  2015168 free,   182300 buffers
KiB Mem:   4016704 total,  2001536 used,  2015168 free,   182300 buffers
KiB Mem:   4016704 total,  2001536 used,  2015168 free,   182308 buffers
KiB Mem:   4016704 total,  2001536 used,  2015168 free,   182308 buffers
KiB Mem:   4016704 total,  2001536 used,  2015168 free,   182308 buffers
KiB Mem:   4016704 total,  2001536 used,  2015168 free,   182308 buffers
KiB Mem:   4016704 total,  2001536 used,  2015168 free,   182308 buffers
KiB Mem:   4016704 total,  2001536 used,  2015168 free,   182308 buffers
KiB Mem:   4016704 total,  2001536 used,  2015168 free,   182308 buffers
KiB Mem:   4016704 total,  2001536 used,  2015168 free,   182308 buffers
KiB Mem:   4016704 total,  2001536 used,  2015168 free,   182308 buffers
KiB Mem:   4016704 total,  2001536 used,  2015168 free,   182308 buffers
KiB Mem:   4016704 total,  2001536 used,  2015168 free,   182308 buffers
KiB Mem:   4016704 total,  2001536 used,  2015168 free,   182308 buffers
KiB Mem:   4016704 total,  2001800 used,  2014904 free,   182308 buffers
KiB Mem:   4016704 total,  2001800 used,  2014904 free,   182308 buffers
KiB Mem:   4016704 total,  2001800 used,  2014904 free,   182308 buffers
KiB Mem:   4016704 total,  2001800 used,  2014904 free,   182308 buffers
KiB Mem:   4016704 total,  2001800 used,  2014904 free,   182308 buffers
KiB Mem:   4016704 total,  2001800 used,  2014904 free,   182308 buffers
KiB Mem:   4016704 total,  2001800 used,  2014904 free,   182308 buffers
KiB Mem:   4016704 total,  2001800 used,  2014904 free,   182308 buffers
KiB Mem:   4016704 total,  2001800 used,  2014904 free,   182308 buffers
KiB Mem:   4016704 total,  2001800 used,  2014904 free,   182308 buffers
KiB Mem:   4016704 total,  2001800 used,  2014904 free,   182308 buffers
KiB Mem:   4016704 total,  2001800 used,  2014904 free,   182308 buffers
KiB Mem:   4016704 total,  2001800 used,  2014904 free,   182308 buffers
KiB Mem:   4016704 total,  2001800 used,  2014904 free,   182308 buffers
KiB Mem:   4016704 total,  2001800 used,  2014904 free,   182308 buffers
KiB Mem:   4016704 total,  2001800 used,  2014904 free,   182308 buffers
KiB Mem:   4016704 total,  2001800 used,  2014904 free,   182308 buffers
KiB Mem:   4016704 total,  2001800 used,  2014904 free,   182308 buffers
KiB Mem:   4016704 total,  2002188 used,  2014516 free,   182312 buffers
KiB Mem:   4016704 total,  2002188 used,  2014516 free,   182312 buffers
KiB Mem:   4016704 total,  2002188 used,  2014516 free,   182312 buffers
KiB Mem:   4016704 total,  2002188 used,  2014516 free,   182312 buffers
KiB Mem:   4016704 total,  2002188 used,  2014516 free,   182312 buffers
KiB Mem:   4016704 total,  2002188 used,  2014516 free,   182312 buffers
KiB Mem:   4016704 total,  2003032 used,  2013672 free,   182312 buffers
KiB Mem:   4016704 total,  2003032 used,  2013672 free,   182312 buffers
KiB Mem:   4016704 total,  2003032 used,  2013672 free,   182312 buffers
KiB Mem:   4016704 total,  2003032 used,  2013672 free,   182312 buffers
