Sec Date Time CPUUser CPUNice CPUSys CPUWait CPUIrq CPUSoft CPUSteal CPUIdle CPUTotl CPUIntrpt/sec CPUCtx/sec CPUProc/sec CPUProcQue CPUProcRun CPUL-Avg1 CPUL-Avg5 CPUL-Avg15 CPURunTot CPUBlkTot MEMTot MEMUsed MEMFree MEMShared MEMBuf MEMCached MEMSlab MEMMap MEMAnon MEMCommit MEMLocked MEMSwapTot MEMSwapUsed MEMSwapFree MEMSwapIn MEMSwapOut MEMDirty MEMClean MEMLaundry MEMInactive MEMPageIn MEMPageOut MEMPageFaults MEMPageMajFaults MEMHugeTotal MEMHugeFree MEMHugeRsvd MEMSUnreclaim NETRxPktTot NETTxPktTot NETRxKBTot NETTxKBTot NETRxCmpTot NETRxMltTot NETTxCmpTot NETRxErrsTot NETTxErrsTot DSKReadTot DSKWriteTot DSKOpsTot DSKReadKBTot DSKWriteKBTot DSKKbTot DSKReadMrgTot DSKWriteMrgTot DSKMrgTot
460 20150425 13:37:53 81 0 3 8 0 1 0 7 86 5184 2341 1 301 2 3.96 4.30 4.12 2 1 4016700 3755000 261700 0 59004 2467108 41792 48012 1165300 1868508 0 8120316 1052 8119264 0 0 56 0 0 2345592 27462 4 10022 0 0 0 0 9256 3682 8150 263 12048 0 0 0 0 0 186 1 186 27539 4 27544 31 0 31
470 20150425 13:38:03 80 0 4 9 0 2 0 5 86 5220 2410 0 298 1 4.20 4.34 4.14 1 1 4016700 3756712 259988 0 59004 2475612 41784 48012 1160580 1863688 0 8120316 1052 8119264 0 0 80 0 0 2354040 28188 1 9104 0 0 0 0 9256 3717 8172 280 12041 0 0 0 0 0 190 0 190 28240 1 28241 32 0 32
480 20150425 13:38:13 85 0 3 9 0 1 0 2 89 5282 2692 1 301 2 4.71 4.44 4.17 1 4 4016700 3802004 214696 0 59012 2519988 41796 48012 1161376 1864444 0 8120316 1052 8119264 0 0 72 0 0 2398484 32880 4 289 0 0 0 0 9260 3707 8176 257 12048 0 0 0 0 0 219 1 220 32765 4 32770 38 0 38
490 20150425 13:38:23 86 0 4 7 0 2 0 1 92 5282 2615 0 301 2 4.68 4.44 4.18 2 0 4016700 3750668 266032 0 59004 2465132 41792 48012 1163808 1867020 0 8120316 1052 8119264 0 0 68 0 0 2343684 32012 4 4773 0 0 0 0 9256 3675 8145 252 12048 0 0 0 0 0 216 1 216 32038 4 32042 35 0 35
500 20150425 13:38:33 76 0 3 8 0 4 0 8 84 5222 2417 1 301 2 4.19 4.35 4.15 2 1 4016700 3754776 261924 0 59004 2468036 41820 48012 1163852 1866916 0 8120316 1052 8119264 0 0 64 0 0 2346588 27559 6 10869 0 0 0 0 9280 3680 8146 265 12048 0 0 0 0 0 191 0 191 27585 6 27591 26 0 26
510 20150425 13:38:43 87 0 4 4 0 1 0 4 92 5190 2358 0 301 1 4.32 4.37 4.16 1 5 4016700 3779940 236760 0 59004 2496204 41792 48012 1163236 1866396 0 8120316 1052 8119264 0 0 56 0 0 2374808 28444 2 13674 0 0 0 0 9256 3652 8140 251 12048 0 0 0 0 0 193 0 194 28392 2 28393 29 0 29
520 20150425 13:38:53 84 0 4 4 0 2 0 6 90 5242 2482 0 301 2 4.37 4.37 4.16 2 3 4016700 3750304 266396 0 59004 2463972 41804 48012 1163852 1866928 0 8120316 1052 8119264 0 0 64 0 0 2342516 28859 3 13078 0 0 0 0 9268 3678 8145 264 12048 0 0 0 0 0 201 0 202 28848 3 28850 25 0 25
530 20150425 13:39:03 80 0 4 5 0 1 0 10 84 5196 2433 1 300 2 4.24 4.34 4.15 2 1 4016700 3755000 261700 0 58996 2467152 41808 48012 1164748 1867884 0 8120316 1052 8119264 0 0 88 0 0 2345744 27516 3 12263 0 0 0 0 9272 3679 8146 264 12049 0 0 0 0 0 193 0 193 27606 3 27609 23 0 23
540 20150425 13:39:13 94 0 4 0 0 2 0 0 100 5206 2517 0 300 2 3.89 4.27 4.13 2 1 4016700 3750636 266064 0 58996 2463304 41772 48012 1164544 1867544 0 8120316 1052 8119264 0 0 72 0 0 2341992 30578 3 12659 0 0 0 0 9240 3664 8138 251 12048 0 0 0 0 0 207 1 207 30551 3 30554 33 0 33
550 20150425 13:39:23 70 0 3 5 0 3 0 20 76 5120 2300 1 301 2 3.70 4.21 4.11 2 0 4016700 3751312 265388 0 58996 2463200 41808 48012 1165360 1868572 0 8120316 1052 8119264 0 0 64 0 0 2341704 26125 3 7775 0 0 0 0 9272 3688 8143 277 12038 0 0 0 0 0 180 0 180 26191 3 26194 25 0 26
